token,symbol,token_contract
Starly,STARLY,A.142fa6570b62fd97.StarlyToken
Blocto Token,BLT,A.0f9df91c9121c460.BloctoToken
Flow,FLOW,A.1654653399040a61.FlowToken
Sportium,SPRT,A.475755d2c9dccc3a.TeleportedSportiumToken
Rally,RLY,A.231cc0dbbcffc4b7.RLY
REVV,REVV,A.d01e482eb680ec9f.REVV
USDT,USDT,A.cfdd90d4a00f7b5b.TeleportedTetherToken
FUSD,FUSD,A.3c5959b568896393.FUSD
USDC,USDC,A.b19436aae4d94622.FiatToken
Celer Bridged AVAX,ceAVAX,A.231cc0dbbcffc4b7.ceAVAX
Celer Bridged BNB,ceBNB,A.231cc0dbbcffc4b7.ceBNB
Celer Bridged BUSD,ceBUSD,A.231cc0dbbcffc4b7.ceBUSD
Celer Bridged DAI,ceDAI,A.231cc0dbbcffc4b7.ceDAI
Celer Bridged FTM,ceFTM,A.231cc0dbbcffc4b7.ceFTM
Celer Bridged MATIC,cdMATIC,A.231cc0dbbcffc4b7.ceMATIC
Celer Bridged USDT,ceUSDT,A.231cc0dbbcffc4b7.ceUSDT
Celer Bridged WBTC,ceWBTC,A.231cc0dbbcffc4b7.ceWBTC
Celer Bridged WETH,ceWETH,A.231cc0dbbcffc4b7.ceWETH
Faze Utility Coin,FazeUtiltiyCoin,A.4eded0de73020ca5.FazeUtilityCoin
Silverlight Coin,SilverlightCoin,A.34dbcbc97ccf37b7.SilverlightCoin
